1	3191	3434	-
1	6887	7248	+
1	7574	7786	+
1	7870	8011	+
1	11527	11641	-
1	12002	12075	-
1	12608	12729	-
1	15317	15372	+
1	15478	15531	+
1	15690	15800	+
1	15858	15910	+
1	16093	16140	+
1	16298	16361	+
1	16550	16609	+
1	23622	23669	+
1	23959	24016	+
1	24050	24103	+
1	27636	27689	+
1	28025	28076	+
1	28335	28394	+
1	29351	29367	+
1	29447	29556	+
1	38139	38207	-
1	38400	38446	-
1	38484	38551	-
1	42266	42324	+
1	43294	43359	+
1	45277	45356	+
1	45786	46036	+
1	46336	46673	+
1	48961	49390	-
1	50100	50245	-
1	50314	50350	-
1	50460	50509	-
1	50523	50643	-
1	54414	54655	-
1	58378	58427	+
1	59483	59534	+
1	59686	60104	+
1	63057	63115	-
1	63395	63463	-
1	68584	68640	+
1	68855	68908	+
1	68961	69118	+
1	69290	69343	+
1	71266	71410	-
1	75876	75910	+
1	75936	75993	+
1	76011	76110	+
1	78427	78568	-
1	79593	79654	-
1	80005	80082	-
1	81039	81097	+
1	81233	81319	+
1	81452	81775	+
1	82096	82177	+
1	82544	82592	+
1	83297	83647	+
1	87171	87226	+
1	89471	89656	+
1	91422	91806	+
1	91894	91951	+
1	92240	92299	+
1	92954	93029	-
1	93554	93632	-
1	95188	95244	+
1	95423	95485	+
1	95582	95627	+
1	96380	96439	+
1	96669	96728	+
1	98149	98200	+
1	102741	102803	+
1	104877	104942	+
1	105632	105691	+
1	108156	108211	-
1	108478	108558	-
1	108668	108719	-
1	108800	108854	-
1	109095	109150	-
1	111158	111247	+
1	112695	112745	-
1	113411	113471	-
1	113677	113727	-
1	118334	118390	-
1	118524	118576	-
1	119151	119501	-
1	119923	119977	+
1	120083	120136	+
1	120310	120372	+
1	120780	120836	+
1	121109	121201	+
1	123592	123646	-
1	126655	127004	-
1	127057	127183	-
1	127300	127358	-
1	129145	129207	-
1	133865	133916	+
1	134850	134928	+
1	137032	137137	-
1	138803	138862	-
1	139065	139119	-
1	139681	139738	-
1	145161	145212	-
1	146857	146914	-
1	149974	150034	-
1	150485	150550	-
1	150576	150641	-
1	151511	151755	+
1	151959	152017	+
1	158851	158906	+
1	159394	159459	+
1	159574	159657	+
1	160055	160114	+
1	160821	160897	-
1	164080	164145	-
1	164846	164901	-
1	165427	165479	-
1	168116	168162	-
1	168295	168510	-
1	168751	168814	-
1	168985	169019	-
1	169593	169790	-
1	169802	169850	-
1	170131	170407	-
1	177506	177548	-
1	195137	195275	-
1	203746	203796	+
1	204324	204379	+
1	204593	204657	+
1	204936	204992	+
1	205956	206022	+
1	206187	206249	+
1	206572	206638	+
1	206774	206809	+
1	206978	207035	+
1	207099	207150	+
1	207768	207830	+
1	207913	207972	+
1	208346	208405	+
1	210053	210417	+
1	210631	210688	+
1	210757	210791	+
1	211945	212000	+
1	212068	212130	+
1	213517	213584	+
1	213616	213684	+
1	213797	213940	+
1	214562	214645	+
1	218077	218144	-
1	218583	218649	-
1	219563	219616	+
1	219661	219719	+
1	220395	220448	+
1	226374	226427	-
1	235332	235414	-
1	237798	237849	+
1	238010	238073	+
1	238241	238314	+
1	238521	238570	+
1	238998	239280	+
1	241489	241543	+
1	241913	241965	+
